,Purchase_x,Occupation,Marital_Status,Gender_F,Age_0-17,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,City_Category_A,City_Category_B,City_Category_C,Stay_In_Current_City_Years_0,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+
139955,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
139972,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
140416,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
140433,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
140458,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
140470,0,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
140496,2,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
140771,0,20,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
140834,2,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
141066,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
141381,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
141411,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
141461,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
141482,1,7,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
141647,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
141839,0,16,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
141950,0,20,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
142035,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
142114,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
142125,1,12,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
142255,0,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
142358,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
142661,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
142889,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
142991,0,7,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
143055,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
143096,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
143115,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
143672,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
143771,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
143918,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
143997,1,9,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
144197,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
144213,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
144528,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
144540,3,20,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
144974,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
145009,0,7,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
145022,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
145162,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
145287,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
145334,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
145354,0,20,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
145377,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
145387,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
145402,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
145448,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
145645,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
145673,1,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
145831,0,17,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
145858,2,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
146107,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
146134,0,17,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
146201,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
146349,2,16,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
146787,0,7,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
146808,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
146863,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
147289,0,19,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
147378,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
147428,0,17,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
147452,2,17,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
147756,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
147840,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
147958,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
148008,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
148138,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
148166,2,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
148469,0,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
148502,3,18,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
148994,0,14,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
149085,0,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
149118,1,19,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
149237,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
149255,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
149270,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
149280,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
149305,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
149399,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
149414,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
149439,1,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
149651,0,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
149681,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
149708,0,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
149727,0,12,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
149737,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
149762,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
149799,1,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
150021,3,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
150302,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
150320,0,17,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
150337,0,13,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
150365,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
150726,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
150752,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
150795,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
150810,2,6,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
151128,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
151598,0,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
151618,0,17,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
151689,0,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
151737,8,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
152762,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
152832,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
152847,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
152944,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
152983,1,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
153218,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
153237,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
153455,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
153536,0,17,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
153568,1,20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
153685,1,12,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
153858,2,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
154078,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
154180,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
154359,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
154562,1,19,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
154755,0,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
154781,2,4,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
155100,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
155143,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
155159,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
155177,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
155216,0,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
155340,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
155388,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
155402,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
155521,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
155566,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
155579,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
155853,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
155868,1,17,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
156019,0,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
156043,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
156152,2,6,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
156388,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
156409,0,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
156428,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
156461,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
156522,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
156636,0,17,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
156719,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
156824,0,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
156843,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
157061,3,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
157349,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
157370,0,7,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
157397,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
157406,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
157442,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
157463,3,14,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
157920,0,17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
157962,0,20,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
158012,0,8,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
158121,3,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
158567,0,16,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
158602,0,16,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
158647,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
158683,4,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
159072,0,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
159096,0,17,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
159138,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
159217,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
159260,2,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
159446,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
159508,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
159845,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
160161,0,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
160202,0,20,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
160217,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
160454,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
160617,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
160639,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
160866,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
160899,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
161129,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
161365,1,16,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
161508,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
161548,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
161609,0,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
161647,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
161666,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
162022,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
162080,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
162093,1,20,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
162263,0,16,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
162336,0,17,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
162380,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
162437,0,17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
162457,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
162475,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
162508,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
162532,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
162614,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
162841,0,20,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
162872,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
163184,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
163275,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
163616,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
163674,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
163693,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
163718,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
163745,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
163776,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
163790,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
163813,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
163844,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
164040,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
164123,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
164142,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
164301,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
164540,0,17,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
164557,0,11,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
164648,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
164744,0,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
164777,0,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
164830,0,6,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
164843,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
164962,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
165110,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
165173,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
165266,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
165383,1,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165490,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
165508,0,14,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
165532,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
165558,3,12,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
165939,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
165948,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
165968,0,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
165999,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
166072,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
166101,0,12,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
166156,1,20,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
166337,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
166351,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
166393,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
166405,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
166502,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
166585,0,11,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
166615,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
166638,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
166713,0,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
166732,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
166749,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
166803,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
166827,0,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
166876,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
166910,4,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
167345,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
167571,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
168004,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
168018,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
168065,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
168080,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
168203,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
168469,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
168539,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
168552,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
168666,0,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
168695,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
168714,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
168729,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
168743,0,5,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
168787,2,19,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
169076,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
169102,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
169180,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
169312,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
169359,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
169429,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
169448,0,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
169509,0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
169533,1,16,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
169703,2,16,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
169957,0,14,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
169977,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
170032,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
170046,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
170236,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
170326,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
170359,0,11,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
170394,0,14,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
170422,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
170506,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
170583,0,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
170601,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
170696,0,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
170736,1,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
170914,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
170930,0,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
171009,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
171060,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
171208,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
171737,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
171764,1,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
171894,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
172130,3,20,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
172539,0,17,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
172578,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
172588,0,15,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
172651,0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
172667,2,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
173022,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
173176,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
173186,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
173211,0,7,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
173307,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
173354,1,13,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
173472,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
173833,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
173848,3,6,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
174265,0,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
174289,1,7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
174386,1,19,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
174530,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
174649,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
174845,0,20,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
174878,0,5,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
174889,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
174898,0,13,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
174999,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
175032,0,10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
175060,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
175076,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
175625,0,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
175638,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
175654,1,7,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
175874,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
175939,0,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
175948,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
175973,2,7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
176312,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
176356,2,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
176600,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
176635,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
